ID,numgames,totalwinnings,name,year,occ,loc,studentflag
5612,1,18700,Erin Haramoto,2008,lab instructor,"Sunderland, Massachusetts",
5613,1,0,Durant Gipson,2008,recent grad,"Houston, Texas",
5610,1,1400,Ty Walker,1986,management analyst,"Middletown, Pennsylvania",
5611,2,6400,Carl Brady,1986,U.S. Navy flight officer,"Pittsburgh, Pennsylvania",
5616,2,33200,Jeff Fowler,2003,writer and actor,"Los Angeles, California",
5617,2,7598,Joe Ingoglia,2003,Boys & Girls Club director,"Bellingham, Washington",
5614,2,28900,Rich Reddick,2003,graduate student,"Austin, Texas",
5615,1,1,Susan Jensen,2003,lawyer,"Huntington Beach, California",
6778,1,8000,Conor Collins,2010,student and volunteer,"Portsmouth, Rhode Island",
6779,2,60000,Karla Ruksys,2010,administrative assistant,"Mount Ephraim, New Jersey",
6774,1,8000,Nancy West,2010,high school guidance counselor,"Las Vegas, Nevada",
6775,3,53400,Brandon Hathaway,2010,mechanical engineer,"Augusta, Georgia",
6776,1,6799,Emily Bryk,2010,elementary school science teacher,"Brooklyn, New York",
6777,1,0,David Hoskins,2010,guybrarian,"Jackson, Mississippi",
6770,2,68802,Jessica Trudeau,2010,graduate student and swim coach,"Barrington, Illinois",
6771,1,1,Ken Burke,2010,real estate appraiser,"Anaheim, California",
6772,1,9199,Gary Gambino,2010,refinery planning manager,"Oregon, Ohio",
6773,2,55000,Laura Hughes,2010,mom,"New Market, Maryland",
258,1,7000,Chlo� White,2005,senior,"Mission Hills, Kansas",TRUE
259,2,36000,Peter Severson,2005,senior,"Sioux Falls, South Dakota",TRUE
252,10,154010,Leszek Pawlowicz,1991,materials scientist,"Phoenix, Arizona",
253,18,432000,Jerome Vered,1992,writer,"Studio City, California",
250,2,26200,Caitlin Cook,2005,sophomore,"Arden, North Carolina",TRUE
251,4,48800,Bruce Simmons,1992,graduate student,"Minneapolis, Minnesota",
257,2,16000,Orlando Zambrano,2005,junior,"Tampa, Florida",TRUE
254,2,4800,Bruce Cox,1989,computer operations analyst,"Lakeside, California",
255,11,110000,Eric Newhouse,1989,student and winner of last year's Teen Tournament,"Sioux City, Iowa",
3689,2,32800,Alice Luo,2007,junior,Georgia Institute of Technology,TRUE
3683,1,1,Sue Wright,2000,,"Columbus, Ohio",
3682,1,1700,George Keller,2000,,Alabama,
3681,1,6200,Peter Dunne,2000,attorney,"New York City, New York",
3680,1,5400,Tom Sims,2000,construction estimator,"Winter Park, Florida",
3687,2,28000,Haritha Sudanagunta,2007,junior,University of California-San Diego,TRUE
3686,1,3000,Dana Mermelstein,2000,international trade analyst,"Washington, D.C",
3685,1,2000,Barbara James,2000,freelance writer,"Clifton, New Jersey",
3684,7,105000,Andrew Garen,2000,project manager,"Mamaroneck, New York",
2518,1,4400,Lindley Henson,1997,mother of twins,"Wauwatosa, Wisconsin",
2519,1,1,Jay Marx,1997,production assistant,"Denver, Colorado",
2515,2,35600,Lou Bayard,2006,writer,"Washington, D.C",
2516,1,3800,Jennifer Czechowski,2006,English teacher,"Fayetteville, North Carolina",
2517,7,51100,Peter Scott,1997,advertising manager,"Washington, D.C",
2510,1,100,Timothy Benston,2006,program director,"Brooklyn, New York",
2511,1,4399,Matt Thomas,2006,structural engineer,"Chicago, Illinois",
2512,3,34800,Meighan Larbi,2006,publishing data manager,"Cape Coral, Florida",
2513,1,2399,Mary Plews,2006,librarian,"Toledo, Ohio",
361,18,432000,Jerome Vered,1992,writer,"Los Angeles, California",
3531,1,0,Rod Bain,2002,physical therapist,"Pasadena, California",
3530,1,0,Jason Sass,2002,mortgage loan analyst,"Springfield, Illinois",
3533,1,10000,Heidi Wakeman,2002,teacher assistant,"Gloucester, Massachusetts",
3532,3,32100,Nathan Chan,2002,software tester,"Bellevue, Washington",
5058,2,28802,Cathy Landers,1998,senior at the University of California-Berkeley,"Los Gatos, California",TRUE
5059,2,15602,Kristen Page,1998,junior at Mary Washington College,"Vienna, Virginia",TRUE
3537,1,0,Jonathan Cole,2002,practice support coordinator,"Port Chester, New York",
3536,1,0,Ellen Green,2002,freelance tutor,"San Diego, California",
3539,1,38399,Elizabeth Mouzon,2002,e-mail administrator,"Washington, D.C",
5055,1,6495,Toni Case,2008,substitute teacher,"Kansas City, Missouri",
5056,2,24000,Grace Lansangan,1998,junior at Barton College,"Virginia Beach, Virginia",TRUE
5050,4,99204,Dorothy Farrell,2008,researcher,"Brooklyn, New York",
5051,1,2799,Tom Koch,2008,real estate developer,"Seattle, Washington",
5052,1,19201,Darrin Gershman,2008,graduate student,"Coral Springs, Florida",
5053,1,18400,Kathleen Ryan,2008,business information analyst,"Scotia, New York",
2157,1,12200,Kris MacCubbin,2001,director of communication,"Kensington, Maryland",
1981,2,28400,April Hahn,1999,administrative assistant,"San Francisco, California",
1159,1,14200,Charlotte Darby,2005,,"West Chester, Pennsylvania",
1158,1,15600,Jon Er,2005,,"Williamsville, New York",
1155,1,4900,Betty Fernandez,1996,attorney,"Washington, D.C",
1154,16,240000,Robin Carroll,2000,instructional designer,"Marietta, Georgia",
1157,1,16000,Matt Tick,2005,,"Escondido, California",
1156,1,12999,Al Brokos,1996,training specialist,"Baltimore, Maryland",
1151,1,18799,Madison Ball,2005,,"Montgomery, Texas",
1150,1,-5000,Brady Newell,2005,,"Derwood, Maryland",
1153,8,104800,India Cooper,1991,actor and copy editor,"New York City, New York",
1152,10,113000,Babu Srinivasan,2001,history professor at Prairie View A&M University,"Houston, Texas",
8035,1,7000,Deepa Zavatsky,2012,attorney,"Princeton, New Jersey",
8034,1,6799,Susan Petracco,2012,e-commerce consultant,"Viera, Florida",
8037,1,1,Sarah Hayden Williams,2012,bakery owner and caterer,"North Creek, New York",
8036,13,325000,Keith Whitener,2012,research chemist,"Charlotte, North Carolina",
8031,3,15597,Betsy Chisolm,2012,volunteer storyteller,"Greeley, Colorado",
8030,1,1,Abby O'Reilly,2012,teacher's aide and tutor,"Clifton, New Jersey",
8033,1,2400,Martin Powell,2012,chemical engineer,"Bowie, Maryland",
8032,1,0,Tim Callo,2012,manufacturing engineer,"Sugar Land, Texas",
8039,1,0,Meredith Bateman,2012,grocery merchandiser,"Cincinnati, Ohio",
8038,1,8800,Erik Greb,2012,medical magazine editor,"Somerset, New Jersey",
8529,2,6200,Justin Culkowski,1987,college administrator,"Buffalo, New York",
8528,1,0,Sheila Halko,1987,sales representative,"Depew, New York",
8523,1,19201,Ray Agran,1993,attorney,"Yardley, Pennsylvania",
8521,1,0,Jacob Laux,2013,administrative assistant,"Rancho Santa Margarita, California",
8520,2,12000,Jonathan Fellows,1987,legislative assistant,"Bellevue, Washington",
8527,1,21400,Dan Weber,2013,legislative aide,"Charlestown, Massachusetts",
8526,1,16500,Sandra Ferkol,2013,homemaker,"Ellisville, Missouri",
8525,1,8500,Rick Grimes,1993,political analyst,"Arlington, Virginia",
8524,1,27,Leif Torkelsen,1993,financial analyst,"Princeton, New Jersey",
4299,1,3600,Kelly Sherer,2007,account planning manager,"West Orange, New Jersey",
4298,1,0,Peter Breeze,2000,junior at Ithaca College,"Bolton, Massachusetts",TRUE
4295,2,9200,Julia Becker,2000,senior at Brandeis University,"Cranford, New Jersey",TRUE
4294,2,6798,Milo Dochow,1999,freshman at Cooper Union,"Portland, Oregon",TRUE
4297,1,1000,Anita Brkic,2000,junior at UCLA,"Agoura Hills, California",TRUE
